id	k0	k1	k2	k3	x_begin	x_end	y_begin	y_end
WT	1.7039421811969283e-07	-0.00016556653082701257	0.060708293936591794	23.323160415757325	27	892	25	67
0hpa1	6.858587622842835e-08	-0.0003091781542385124	0.054876981018393604	20.630099089604684	5	347	5	23
0hpa2	-5.246568154894085e-06	0.0021718360101019526	-0.20051342216254908	36.202407595966854	21	360	1	41
3dpa1	-3.878046498714641e-06	0.0025099880027957162	-0.4623589717692134	29.716487206025548	25	274	3	20
3dpa2	-3.0160996377340507e-06	0.0017506147492100353	-0.3081542964788678	18.75051031029582	27	286	2	12
5dpa1	2.404049504134176e-06	-0.0013942830172720359	0.2374692263293198	-1.934131410946383	28	344	4	13
5dpa2	8.606323017911491e-07	-0.00028690160552624915	-0.01379011358285395	10.64867778031088	16	434	3	21
7dpa1	-2.0201378946210657e-06	0.0008908695561789253	-0.05223586757160513	22.819837149741893	28	361	22	34
7dpa2	-3.321916263012453e-06	0.001538814848236654	-0.1342126756688776	15.731138645754676	29	348	12	26
10dpa1	2.748078714150662e-07	6.637661394894457e-05	-0.0791693895036859	18.30792292002832	22	459	7	23
10dpa2	2.2232087405848476e-07	-0.00026785767227606883	0.07180513427655111	1.0809152131523503	25	378	2	7
12hpa1	-1.3091261658190265e-07	6.251922581835582e-05	-0.011961096379437257	3.306100228794309	11	330	1	3
12hpa2	-6.48851922566503e-07	0.000592116119354683	-0.12631626222958678	11.274102361377684	18	257	3	9
14dpa1	-1.8536563414026766e-06	0.0008758646018932957	-0.07360494763757663	10.469919008641206	28	390	5	18
14dpa2	-1.1919853068840064e-07	0.00015424041336948528	-0.04185283272032232	8.11998696990572	26	497	5	11
36hpa1	-5.5348617805037305e-06	0.0017064969096580198	0.04680150256781616	29.209548972346898	12	369	1	63
36hpa2	6.201734735716211e-06	-0.0021945784127839563	0.14653109881837664	30.411740769089928	13	288	22	39
